"paper","id","preliminary_decision","review","confidence","assessment","id","lan","orientation","remarks","text","timespan"
"","","","","2","-2","2","is","-1","","This paper involves the development of an application that simulates the BB84 protocol, an orderly work is appreciated and without a doubt the understanding of some concepts of quantum physics that support quantum cryptography such as the non-cloning theorem and the principle of superposition and Interleaving is a task that has its merits, in addition, the use of software engineering in the construction of the application is appreciated, which is a very positive aspect, since generally when software creation is involved in frontier knowledge areas, resort to code-and-fix, with all the disadvantages that this entails. I believe that this manuscript should be directed to the area of cryptography and security, in my specialty, which is computing in distributed environments, I do not see significant relevance and contribution of the manuscript, using RMI in my opinion is not a contribution per se, because RMI is easy to use if JAVA is handled, however, it is not interoperable since it does not support other programming languages, in addition, systems based on RMI as they grow have a performance problem, the more they grow the slower they become, on the other hand , according to some purists a client/server system is not a distributed system, according to others the client/server case is the most basic case of distributed computing, in short, speaking strictly from the area of distributed computing I do not see relevance in this area of this manuscript, however, it seems to me that in another area the paper could be pertinent, since it is an orderly, clear and well-written work. I am not an expert in the area of cryptography, but a few years ago I once heard an Englishman talk about quantum cryptography in a seminar and he mentioned a large number of simulators and applications, he even said that he had applications that already used quantum cryptography among several kilometers through fiber optics, so I think it is best to evaluate this manuscript in that area and not in the area of grid/distributed systems, because in this area the paper, in my opinion, does not have original aspects, since it uses trivial aspects of client/server principles. As I have said before, the paper has more issues of quantum physics and cryptography than distributed computing, for which abstracting myself from the area that concerns me, I see the use of a distributed environment technology used as a client/server, not interoperable and with scalability restrictions. A positive aspect in the paper is that the use of software engineering is appreciated. Regarding the area of grid computing and distributed systems, the manuscript does not contain relevant aspects, it uses RMI to implement a client/server system, however, RMI is easy to use and as a well-known paradigm in computing, performance is opposed to ease of use, RMI does not escape that, because it is easy to use, but it does not have scalability. The document is well presented, perhaps table 2 and table 3 would be better merged using rows as computer and in the columns the details of the ne2rk, especially if there is more than a client/server scheme, for example, a ne2rk distribution ring. quantum keys, with more than 2 computers involved. I think being introduced to the crypto and security area would be more pertinent.","2010-07-05"
"","5","accept","","4","2","1","is","1","","New proposal. Well structured. Correctly written. I only suggest: Explain in more detail the trapezoidal function on page 2. Rewrite the previous paragraph to the trapezoidal function A(x). Enlarge the schematic of figure 1. Explain the proposed architecture shown in figure 2. Review reference of Feng et al. which is reference 2 and in a paragraph of column 2 page 1 it is marked as reference 1. Article is not in the format requested by Infonor, please change to this format.","2010-07-05"
"","","","","4","2","2","is","0","","The topic is interesting and well structured in terms of proposal design. The topic deals with an approach to improvement, however it only establishes an architecture proposal, focusing on the design, and does not indicate how this improvement will be evaluated or measured for SDWs, it is recommended to add metrics or other aspects for it. It does not provide many details, it is recommended to increase the number. of pages to improve this aspect. There are not many bibliographical references to related works or efforts on the subject.","2010-07-05"
"","","","","5","2","3","is","1","","With a high technical profile, it is a contribution to the theme. Too concise, it could be extended in the how (especially from the fuzzy contribution).","2010-07-05"
"","6","probably reject","","4","-1","1","is","0","","Innovative proposal for the application of an industrial engineering methodology to the field of requirements engineering. - There is no unification of terms throughout the document, related to the requirements engineering phase: 'eduction', 'elicitation'... The same term must always be used. - There is no evidence of how the gradual 'improvements' of the elicitation process are quantified, and the 'improvement' in the quality of the documentation. How do you measure that improvement? - There are writing and spelling errors, particularly in the use of accents (tildes) and punctuation marks (use of commas and semicolons). The article proposes the use of a work philosophy from another area of engineering, to improve the quality levels of the requirements documents generated in a requirements elicitation process. I consider that from the technical point of view it would be important that they support the analysis of the results that they propose in a quantified measurement or comparison, which allows, through a more formal method than the descriptive one, to generate the conclusions of 'improvement' in the quality of the products. associated with the requirements engineering process. There is no evidence of how they reach the conclusions generated, what are they based on to say that it is better or not, that it has fewer errors or not? It is an interesting proposal that can be applied in real cases of requirements engineering processes. Currently it contributes to reduce the crisis associated with this phase of development of software products. The organization of the document can be improved considerably. I consider that a large part of the article is dedicated to expressing the associated conceptual framework, and less to the application of the technique in the case study and the analysis of results, sections in which the proposal presented can be supported more. Likewise, there are spelling and writing errors that, if avoided, can give greater value to the presentation of the article.","2010-07-05"
"","","","","4","-2","2","is","-1","","Try to apply a new strategy to requirements management. The applicability of manufacturing process techniques to software processes is not supported or considered. Although it is true that there are authors such as Demming who state that it is possible to do so, there are other authors such as Sommerville who state that due to the characteristics of software development, manufacturing process techniques are not applicable to software. The authors of this article provide no support regarding the validity of this aspect. The article begins stating that the proposal is to improve the elicitation of requirements, however, then it is derived that what is improved is the generation of the SRS. The elicitation and generation of the requirements document are different aspects. In the case of experimentation that is presented, it is not seen anywhere that problems are solved neither in the reduction nor in the generation of the SRS, they are rather implementation problems. The errors detected are basic aspects that any programmer with a minimum of experience knows how to solve, without the need for the SRS to specify the type of minimum validations that must be carried out as part of the system tests. The proposal lacks practical guidelines to help in its application. How should these POKA-YOKE reviews be carried out? What aspects should you pay attention to? Are there artifacts to guide the review? There are editing errors in the text (repeated words) There are spelling problems (word stress)","2010-07-05"
"","","","","4","1","3","is","-1","","Good practice to guarantee quality in the elicitation of requirements - The summary is poorly written, there should be no theoretical explanations - The translation of the summary is lousy - The article is not written in the third person - The POKA YOKE section should go before the VARIABILITY section OF THE REQUIREMENTS AND QUALITY COST. - There are several spelling errors","2010-07-05"
"","7","probably reject","","5","-2","1","is","-1","I consider that an article by six researchers may contain clearer aspects of research. At this point in time, I think it has already been shown that an intelligent reading of process improvement methods and techniques allows for their understanding. Therefore, I consider that the article should be more specific in the presentation of these and develop more work on the proposal that they carry out in a special way.","The article details a requirements management proposal based on KAIZEN. The authors describe different methods and techniques to complement Kaizen I understand that the main contribution of this work is, according to the authors, to complement and improve Kaizen for requirements elicitation and management. However, the authors of the article present only a theoretical construction of their proposal. I understand that the article lacks work to develop, in order to validate the proposal. However, being an article developed by six researchers, I consider that it should include more applicative aspects of the proposal.","2010-07-05"
"","","","","4","2","2","is","0","","Intresting job. Although the document shows a proposal, it would be interesting to show applications.","2010-07-05"
"","8","accept","","4","1","1","on","0","","The paper describes an experience concerning the automated inspection of spectra for the Pipeline Hubble Legacy Archive Grism data.  Comments:  In the conclusions the authors say that ""We have identified 2 classes of flawed spectra which were not picked up by the automatic classification because of their very small number of training samples. Per construction machine learning techniques can not classify such outliers."" This sentence should be further explained. As Hastie, Tibshirani, and Friedman say in The Elements of Statistical Learning (see Chapter 7): ""it is too difficult to give a general rule on how much training data is enough; among other things, this depends on the signal-to-noise ratio of the underlying function, and the complexity of the models being fit to the data. "" So, by just saying that the number of training samples is small you do not provide enough information to decide whether machine learning techniques are adequate or not to solve a problem.  Other minor comments:  + If reference [2] has not yet been written or published it should be deleted from the paper.  The dataset may be of scientific importance.  It is mainly descriptive.","2010-07-05"
"","","","","4","2","2","on","1","","This manuscript addresses an interesting solution based in machine learning techniques to classify spectra legacy data of the Hubble Space Telescope in order to publish the results and ""good"" spectra in Internet to scientific community. The manuscript is well-written and results are robust. Experiment is sound and the manuscript seems acceptable in the current form. The work can be short, but very interesting to the Infonor and JCC community.  The main problem of the paper is that it is difficult to compare results for the classifiers utilized. A confusion matrix and parameters for each classifier could clarify results.","2010-07-05"
"","","","","5","1","3","on","0","","Interesting application domain.  Nothing new from a machine learning perspective. They authors should provide more information about the models they have obtained with the different classifiers (feature subset selection used, selected features, accuracies, statistical significance on the differences on accuracies, the models themselves, ...). Semi-supervised classification is the appropriate method for the last paragraph in the ""Methodology"" section.","2010-07-05"
"","9","accept","","5","2","1","is","1","","This paper presents a tool (SAVE) for software architecture verification. SAVE performs a static check of rules associated with permitted and prohibited dependencies between elements of the design and the code, and allows a report to be delivered on the consistency between both levels with respect to said rules. In general, the tool seems quite powerful for 2 reasons: the use of simple rules and the inclusion of pre-defined rule sets for widely used design patterns. This, in my opinion, is the most important difference with other similar frameworks. The writing is, in some places, not very objective. In particular, I would suggest avoiding excessive use of adjectives for which no supporting evidence is provided. For example, in several places I noticed the use of ""powerful tool"", ""intuitive tool"" or similar (not only referring to SAVE, but to other works). In all these cases, no evidence is explicitly provided to support the use of such adjectives. Another detail that requires fixing is the title that appears in the PDF file: ""Prediction of behavioral dynamics..."", which does not match the title of the paper. The authors probably used a template from a previous paper with that title.","2010-07-05"
"","","","","4","1","2","is","0","","The verification of the architecture of a software product can be a great contribution to its quality, therefore, any tool that facilitates this task is a contribution to software engineering. They present evidence of a previous review of alternative or complementary methods and tools to the proposal. The descriptions presented are accompanied by explanatory examples. The role and interaction of the domain expert is not clear. In the initial sections it says that the tool performs static and dynamic analysis, however at the end of the article, in the identification of possible improvements of SAVE, it is proposed to include dynamic analysis, which contradicts the initial statement. The description of how the tool works is not clear enough. The quality of the figures is not adequate, due to their size and resolution it is not possible to appreciate the details well. Article writing can be improved. There are several sentences where connectors are missing, for example ""In this section, we will see SAVE manages to recover existing dependencies in the source code...."" Many errors in the accentuation of words.","2010-07-05"
"","10","accept","","3","2","1","is","1","","Innovative proposal, highly valuable linking people from the business world, which allows the theory and proposals for software engineering to be tested in real environments. Well structured and very well written. I only suggest outlining the White Belt IR - SixSigma training application activities and reviewing minor wording details.","2010-07-05"
"","","","","4","2","2","is","0","","Good practice to improve quality in requirements engineering - There should be no theory in the summary - There should be a case study to better see the application of the methodology","2010-07-05"
"","11","accept","","3","2","1","is","0","","Interesting proposal in a software development environment that is quite poor in development methodological aspects. Some related work is missing or perhaps better discussed in the introduction with references to substantiate the interesting proposition. Check wording. It is not in the format requested by Infonor. It is suggested not to add links to web pages in the text of the article.","2010-07-05"
"","","","","3","2","2","is","-1","","The authors have designed a methodology to develop software to support scientific research projects. They fairly accurately identify the differences between research software development and commercial software development. Likewise, they propose a methodology following an approach of agile methods of software development. The proposal is in a design phase, has been prepared from interviews with potential users and is likely to be tested in future research. In my opinion, the article needs a section that accounts for the methodology that the authors followed to arrive at the proposal. Reference is made to interviews with: ""participants in this type of project"", however, it is not reported how many people were consulted, how the interviewees were selected, what instruments were applied and how the data were analyzed.","2010-07-05"
"","","","","5","-1","3","is","-1","","consider, first of all, that the field of development of the subject (software development in research environments...) does not ""grant permission"" to carry out this development in a more informal way (times, loose versions, little documentation, etc. .). 2nd, I don't see why only SCRUM is proposed, without making basic comparisons with the other ""classic"" exponents of agile methodologies (XP and FDD), which gives a certain ""lightness"" to the initial analysis by the authors (no doubt could go a little deeper, especially with XP).","2010-07-05"
"","12","accept","","4","2","1","is","2","This is an article that presents a new topic in the area of software engineering. I think it will be very interesting to learn about this project in the context of the JCCC.","It is an article that presents a new topic in the area of Software Engineering. The article is very well documented and substantiated. The technologies used in the development of the prototype are of current interest. As the article describes, it is a first step in a line of research and the development of a prototype of a meta-case application. In this sense, it remains unclear what the current level of maturity is, both in the research and in the application developed.","2010-07-05"
"","","","","3","2","2","on","0","","This paper presents a software tool that is useful in the context of software engineering. The authors do a good job describing the technical details of the tool. However, there is little information about the novel aspects of the proposed tool, How the proposal compares to other existing tools (if any)?","2010-07-05"
"","","","","4","2","3","is","2","","A very clear, precise and high level work","2010-07-05"
"","13","accept","","4","2","1","is","2","","The article presents the design of a prototype that implements a system for data acquisition through wireless mobile devices, applied to mining, specifically in the monitoring of particulate matter. The application of mobile technology to a specific problem of the Chilean mining industry is interesting, in addition the article describes in a very clear way the problem and the proposed prototype. The article is novel since it considers the use of computing (data processing) and mobile device technologies applied to a specific problem of the Chilean mining industry. The problem, the presented technology (BUG) and the proposed prototype are clearly described. The application of current mobile computing technologies in important industrial sectors of the country is relevant. The main title and abstract must be written in Spanish and English (they only come in Spanish). In addition, the article lists 29 references, but only refers to one (the first in the list). It even shows up in the PCFactory References, and it's not entirely clear why.","2010-07-05"
"","","","","4","2","2","is","0","","Consider the use of mobile technologies to incorporate in the measurement of particulate material that exists inside a mine. It will be interesting to see the advantages and disadvantages of this application with other existing ones. It is a study only. There are no results yet.","2010-07-05"
"","14","reject","","4","-1","1","is","-1","This work has many inconsistencies.","An extensive work is appreciated that is valued, however several inconsistencies are observed throughout the work. It is observed on page 4 figure 1 the indication of a conceptual model being this of the snowflake type, however the correct thing would be to indicate that it is a logical design scheme and not a conceptual design of DW. Furthermore, a correct conceptual schema should not indicate the data type. Reference is also made in this regard to a star schema bibliography. Research on conceptual models for DW was lacking to avoid the above. Lots of redundancy on technical issues that shouldn't be relevant to the article. There is talk of business intelligence but in a strict sense, if business intelligence is applied, an “expert” analyst is needed who is capable of making decisions with the trends found in the study, which is not presented in the article. References of related works are missing, since only books are referenced. A review of related works would have been very useful in order to better structure the article. There are methodologies to outline the ETL process that would have allowed improving this aspect described in the article.","2010-07-05"
"","","","","3","-2","2","is","-1","NOTE: The first version of this review corresponded to another article.","The article presents the process of building a data warehouse to implement OLAP on data on the exploitation of marine resources off the coast of Chile. The problem is clearly defined and has relevant practical application for the country. The work presented corresponds to a very complete and thoroughly documented use case of well-known data mining techniques. The ABSTRACT must be edited so that it represents an appropriate and readable translation of the ABSTRACT. The original contribution of the work is not evident. The original conclusions of the article are related to the domain of the application (marine resource exploitation statistics) and not to topics relevant to the conference. Missing information in the bibliography should be completed.","2010-07-05"
"","","","","4","-2","3","is","-1","Although the article follows a standard structure, it has some formatting problems that need to be corrected.","The article presents the development of a solution to the problem of analyzing trends in the landing of marine species on the Chilean coastline, using business intelligence tools. a) Form issues 1. The English version of the article title and abstract contains grammatical, editorial, and style errors. 2. Capitalization: Chile --> Chile National Fisheries Service --> National Fisheries Service kettle --> Kettle table 1 --> Table 1 api --> API etc. 3. Figure 2 is not referenced This figure shows --> Figure 10 shows 4. paragraph after Figure 1 is written in 1 column. it must be in 2 columns 5. format does not fully agree with the Infonor format. b) substantive aspects 1. The article does not report research results. It is an application of BI techniques to provide support for online data analysis. 2. It is weak in terms of background of processes and techniques used. Although 12 references are listed, only 2 or 3 of them are cited repeatedly. There is no review of related works (cases of BI applications.) 3. Given the orientation of the article, the (potential) use of the results should be much more detailed. In this sense, there must be a greater and better interpretation/evaluation by the users of the information analyses.","2010-07-05"
"","15","accept","","4","-1","1","is","0","","This paper performs a categorization of ways to integrate business rules in a design using the aspect-oriented paradigm and proposes a documentation template for business rules based on this categorization. The paper provides useful information about the particular problem, as well as a reasonable categorization of different aspects of this problem. It is a good starting point for an investigation in that line. Although the information provided in the paper is highly relevant for research on this topic, it is insufficient to accept it as a complete and self-contained work. The reason is that the paper focuses on identifying problems and proposing an artifact (the template) that should solve those problems. However, it does not present evidence as to why this template is a good alternative to solve these problems. For this, the elements mentioned in the future work are required, specifically the formal specification and the automatic tool to create templates and map them to AOP. My suggestion is to wait until these elements are ready to complete this paper and send it to a new conference.","2010-07-05"
"","","","","3","2","2","is","-1","","The work presents a viable alternative to solve the problem of changing business rules. It can be improved by adding a little more background to the aspect topic, since prior knowledge of this topic is assumed, so the paper is not self-contained.","2010-07-05"
"","","","","4","0","3","is","-1","","The paper presents a methodology to address the complexity of implementing business rules without making changes to the base functionality of a system. It proposes a clear methodology based on documentation through templates to manage and analyze the impact of carrying out the implementation of a business rule via aspect orientation. The reasons presented to indicate that the OA approach to encapsulate the connection between the business rules and the base functionality is not a trivial task, they are general and should be addressed in more depth. It does not present formal evidence that the use of the proposed templates specifically solves a problem. It is suggested to present a solved problem through the tool that is under development that automatically handles the templates. Failing this, demonstrate the application to a specific problem.","2010-07-05"
"","16","accept","","3","0","1","is","0","","","2010-07-05"
"","","","","5","2","2","is","0","Check the English used in the article, there are errors that can be corrected for publication.","It is an article that presents an interesting diagnosis of software development companies in Chile. They incorporate an initial statistical base that gives formality to the work carried out, specifically for the determination of the base sample for the development of the surveys. However, the statistical data of the results are not part of the work presented. Presentation of statistical results that validate the conclusions presented and the findings found, about the diagnosis. The authors are recommended to continue in the work in order to incorporate the statistical bases tending in the companies of the sector in other countries. Other recommendations: Exhaustive revision of the English and particularly for the presentation of the article, the translation of this language should be carefully revised. Particularly review the title, where there is an error in the first word.","2010-07-05"
"","17","accept","","4","-1","1","is","-1","","The development of a prototype for an automatic software requirements allocation tool among developers is presented. This tool can be very useful for software development teams. It is about making a contribution through this tool to the quality of the products developed. The heuristics used for assigning requirements to programmers are not explained. A study of the existing requirements management tools is not presented, where it is shown that there are no alternative tools to the one presented. And if there are alternatives, justify why develop a new one. The functionalities of the tool are not clearly explained. There is no evidence of the improvement of the process by including this tool, it is only said in the conclusions that ""the change in the quality of the process is perceptible"" The bibliographic references used are mostly web pages, a bibliographic review in databases is not noted. specialized data. The figures are not well distinguished. The bibliographical references do not comply with the established format. You must write in the third person.","2010-07-05"
"","","","","4","1","2","is","0","","Innovative proposal for requirements planning for a software factory, as a contribution towards improving the quality of projects. - Although the title of the article is oriented towards 'requirements planning', this point is only addressed again when they narrate how they implemented the prototype. - They do not include a conceptual base that allows sustaining the role that requirements management plays in the software development process and particularly in the quality assurance of the process. - It is not evident how with a contribution in the automatic planning of the requirements for the software factory, this will allow you to reduce your development times (estimated vs. real) and therefore ensure higher quality. - The relationship that exists between the proposal made within the CMMI framework is not very clear. The article proposes a requirements planning model, supported by an automatic tool. The prototype they propose is interesting and relevant. I think that the model and method that they propose associated with it, which is actually the real contribution of the authors, can be better organized. I consider that from the technical point of view it would be important that the analysis of the results that they propose with the case study of the bank, be done through an interpretation or quantitative comparison, which really shows that with this automatic planning the quality is really being improved. of the process and/or at least the estimation and actual execution of development times will be shorter, a scenario that, according to background information, has already been justified in its direct relationship with quality. It is an interesting proposal that can be applied in real cases of requirements engineering management processes. Currently, it would contribute to the reduction of time associated with this phase of software product development, and consequently with the quality of the process. Bearing in mind that Requirements Engineering has so many causes and problematic actions, which generate software crises and therefore an affectation in quality management, it remains an open question whether a contribution towards the 'planning' of the requirement really achieves a considerable effect, with respect to other causes or crucial points such as 'prioritization of requirements', validation and/or its traceability as such. The organization of the document can be improved in the following aspects: - Some of the figures that are included are not necessary, since they really do not provide anything additional to what is described in the text, and visually they do not say much. - In the 'APARD Design' section they mention many technical aspects characteristic of reference software factories, which do not give more weight to the intention of the article, nor are they giving really influential data for the application. - The quality of the figures can be optimized (mainly those that show the internal components of the algorithm and the actions of use of the system -profiles, since they are the ones that show the greatest contribution). - There are several drafting errors that should be reviewed (for example: the use of 'on the basis of' should be changed to 'based on'; 'is used', to 'is used'.. )","2010-07-05"
"","","","","4","0","3","is","-1","","The APARD tool - The topic associated with requirements and software factory is interesting - The practical case that considers the use of APARD with its advantages and limitations is not detailed - The section that explains the implementation of the APARD solution should be improved - Improve conclusions - The presentation: with spelling and writing errors, written in the first person, figures with very small letters, white letters in figures make it difficult to read, references written in different ways, etc. - It is recommended not to use Wikipedia as a reference for a scientific article. - Author is missing in references 6, subject name is missing in reference 13 - Reference 7 is written with author differently from the others and with title before author. - Change “Keywords” to “Keywords”. - According to format, put at least 5 keywords. - It makes reference in another format, for example, Greenfield and Short(2003) - There is a lot of detail of technologies and tools and products detailed in the Technological Specification section of APARD - What does IQNET[z] mean? - I suggest putting the sections that make up the paper in the Introduction.","2010-07-05"
"","18","accept","","4","2","1","is","0","","","2010-07-05"
"","","","","4","0","2","is","-1","","The subject of the article is new and necessary in the process modeling literature. The work in general presents a poor theoretical development. To carry out the comparison between the process modeling techniques, a methodology must be built that effectively shows the advantages of one method over the other. The comparison made between the methods must be presented for a general case, since nowhere does the methodology explain what is going to be applied to a particular situation. The methodology of the article does not adequately explain the way in which the comparison was developed, it only exposes the decision criteria used in its construction, which does not allow an adequate evaluation of the results obtained. The research question and the objectives of the study carried out are not clearly stated.","2010-07-05"
"","","","","3","-2","3","is","-1","Justification:","Justification: It is a job that is not very new, it is a subject that has been studied a lot, especially graphic models. These concepts are built into the CASE tools, even though they are not presented in depth in the document. Perhaps a greater contribution would have been to investigate the formal methods and expand the comparative analysis of methods.","2010-07-05"
"","19","accept","","4","2","1","on","1","","This paper is very interesting, I like the idea, and to make it a work publishable in vennue reaching a wider international audience it is necessary to validate the proposed ideas through extensive experimentation with actual data and users, please go ahead.","2010-07-05"
"","","","","4","2","2","is","2","","This paper proposes a new approach to support requirements prioritization through a process of transforming Use Cases into a dependency graph through the application of IR techniques, Bayesian ne2rks, and domain expert evaluation. . The approach is presented as an interesting contribution to the prioritization of requirements and shows its application to a real case. The document is well written and very well supported by references. The results are robust according to the approach used and well-directed future work is presented. Some typographical or editorial errors can be found on page 5 (paragraph 1 and 2). Confusion over the use of k and K on page 5 (or typo). It may not be clear to use the prioritization knowledge performed in the test base case with respect to that performed semi-automatically by your approach, except that expert knowledge is used. Perhaps an objective comparison between the 2 prioritizations would be appropriate.","2010-07-05"
"","","","","4","0","3","is","-1","","From the point of view of Bayesian ne2rks, the work does nothing more than a direct application of the Genie implementation of the K2 algorithm (Cooper and Hervokits, 1992). It is not clear what the potential of this probabilistic graphic model is going to be used for at the inference or classification level. The references included in the list must be refined (it does not make sense to include references from the 90s in which the ""sent"" tagline appears).","2010-07-05"
